codgeo,libgeo,zonage_rur
02215,Corbeny,tr4
02216,Corcy,tr3
02217,Coucy-le-Château-Auffrique,tr2
02218,Coucy-lès-Eppes,tr4
02219,Coucy-la-Ville,tr1
02220,Coulonges-Cohan,tr3
02221,Coupru,tr4
02222,Courbes,tr1
02223,Courboin,tr1
02224,Courcelles-sur-Vesle,tr2
02225,Courchamps,tr4
02226,Courmelles,tr5
02227,Courmont,tr1
02228,Courtemont-Varennes,tr2
02229,Courtrizy-et-Fussigny,tr2
02230,Couvrelles,tr3
02231,Couvron-et-Aumencourt,tr4
02232,Coyolles,tr3
02233,Cramaille,tr1
02234,Craonne,tr4
02235,Craonnelle,tr4
02236,Crécy-au-Mont,tr3
02237,Crécy-sur-Serre,tr4
02238,Crépy,tr4
02239,Crézancy,tr2
02240,Croix-Fonsomme,tr4
02241,La Croix-sur-Ourcq,tr1
02242,Crouttes-sur-Marne,tr4
02243,Crouy,tr5
02244,Crupilly,tr1
02245,Cuffies,tr5
02246,Cugny,tr2
02248,Cuirieux,tr3
02249,Cuiry-Housse,tr1
02250,Cuiry-lès-Chaudardes,tr4
02251,Cuiry-lès-Iviers,tr1
02252,Cuissy-et-Geny,tr3
02253,Cuisy-en-Almont,tr4
02254,Cutry,tr3
02255,Cys-la-Commune,tr2
02256,Dagny-Lambercy,tr1
02257,Dallon,tr4
02258,Dammard,tr3
02259,Dampleux,tr3
02260,Danizy,tr5
02261,Dercy,tr4
02262,Deuillet,tr2
02263,Dhuizel,tr3
02264,Dizy-le-Gros,tr3
02265,Dohis,tr1
02266,Dolignon,tr1
02267,Dommiers,tr3
02268,Domptin,tr3
02269,Dorengt,tr1
02270,Douchy,tr4
02271,Dravegny,tr3
02272,Droizy,tr3
02273,Dury,tr3
02274,Ébouleau,tr3
02275,Effry,tr2
02276,Englancourt,tr1
02277,Épagny,tr3
02278,Éparcy,tr1
02279,Épaux-Bézu,tr2
02280,Épieds,tr1
02281,L'Épine-aux-Bois,tr4
02282,Eppes,tr4
02283,Erlon,tr3
02284,Erloy,tr1
02286,Esquéhéries,tr2
02287,Essigny-le-Grand,tr4
02288,Essigny-le-Petit,tr4
02289,Essises,tr3
02290,Essômes-sur-Marne,tr5
02291,Estrées,tr4
02292,Étampes-sur-Marne,tr5
02293,Étaves-et-Bocquiaux,tr3
02294,Étouvelles,tr4
02295,Étréaupont,tr2
02296,Étreillers,tr4
02297,Étrépilly,tr1
02298,Étreux,tr2
02299,Évergnicourt,tr4
02302,Faverolles,tr3
02303,Fayet,tr5
02304,La Fère,tr5
02305,Fère-en-Tardenois,tr2
02306,La Ferté-Chevresis,tr2
02307,La Ferté-Milon,tr3
02308,Fesmy-le-Sart,tr1
02309,Festieux,tr4
02310,Fieulaine,tr4
02311,Filain,tr4
02312,La Flamengrie,tr2
02313,Flavigny-le-Grand-et-Beaurain,tr2
02315,Flavy-le-Martel,tr3
02316,Fleury,tr3
02317,Fluquières,tr4
02318,Folembray,tr2
02319,Fonsomme,tr4
02320,Fontaine-lès-Clercs,tr4
02321,Fontaine-lès-Vervins,tr2
02322,Fontaine-Notre-Dame,tr4
02323,Fontaine-Uterte,tr4
02324,Fontenelle,tr2
02326,Fontenoy,tr4
02327,Foreste,tr3
02328,Fossoy,tr2
02329,Fourdrain,tr4
02330,Francilly-Selency,tr4
02331,Franqueville,tr2
02332,Fresnes-en-Tardenois,tr1
02333,Fresnes-sous-Coucy,tr1
02334,Fresnoy-le-Grand,tr3
02335,Fressancourt,tr3
02336,Frières-Faillouël,tr2
02337,Froidestrées,tr1
02338,Froidmont-Cohartille,tr4
02339,Gandelu,tr4
02340,Gauchy,tr5
02341,Gercy,tr1
02342,Gergny,tr1
02343,Germaine,tr4
02345,Gibercourt,tr4
02346,Gizy,tr4
02347,Gland,tr2
02349,Goudelancourt-lès-Berrieux,tr3
02350,Goudelancourt-lès-Pierrepont,tr3
02351,Goussancourt,tr4
