Code Commune,Nom Commune,Niveau de vie Commune,Niveau de vie Département
82172,Saint-Projet,15498.8,18637.543811
07085,Empurany,15502.0,19028.097092
55357,Morgemoulin,15502.666667,19025.08246
79349,Villemain,15502.666667,19393.711247
50570,Savigny-le-Vieux,15504.0,19256.184487
11372,Salsigne,15508.333333,17599.733068
15113,Mandailles-Saint-Julien,15508.666667,18692.766897
18238,Saint-Vitte,15510.0,19395.293282
93031,Épinay-sur-Seine,15515.0,17192.209405
86211,Romagne,15519.958333,19527.047285
15136,Mourjou,15521.0,18692.766897
34020,Azillanet,15522.5,18686.160053
23084,La Forêt-du-Temple,15528.0,17706.664212
88176,Fontenoy-le-Château,15538.0,18846.767927
93055,Pantin,15539.130435,17192.209405
62193,Calais,15539.230769,17738.487318
62563,Mazingarbe,15540.25,17738.487318
17162,Fontaine-Chalendray,15541.538462,19676.945602
