bv2012_code,bv2012_name,com_uu2020_status
27226,Étrépagny,hors unité urbaine
27246,Fleury-sur-Andelle,hors unité urbaine
27375,Louviers,hors unité urbaine
27226,Étrépagny,hors unité urbaine
27056,Bernay,hors unité urbaine
27375,Louviers,hors unité urbaine
27428,Le Neubourg,hors unité urbaine
27116,Brionne,hors unité urbaine
27056,Bernay,hors unité urbaine
27165,Conches-en-Ouche,hors unité urbaine
27467,Pont-Audemer,hors unité urbaine
27375,Louviers,unité urbaine
28085,Chartres,unité urbaine
28085,Chartres,hors unité urbaine
28348,Saint-Lubin-des-Joncherets - Nonancourt,hors unité urbaine
28422,Voves,hors unité urbaine
28085,Chartres,hors unité urbaine
28140,Épernon,unité urbaine
28085,Chartres,unité urbaine
28134,Dreux,unité urbaine
45248,Patay,hors unité urbaine
28116,Courville-sur-Eure,hors unité urbaine
28280,Nogent-le-Rotrou,hors unité urbaine
28116,Courville-sur-Eure,hors unité urbaine
28015,Auneau,hors unité urbaine
29220,Pont-l'Abbé,unité urbaine
29019,Brest,unité urbaine
29105,Landivisiau,unité urbaine
29260,Saint-Renan,hors unité urbaine
29046,Douarnenez,hors unité urbaine
29081,Huelgoat,hors unité urbaine
2A004,Ajaccio,hors unité urbaine
2A004,Ajaccio,hors unité urbaine
2A004,Ajaccio,unité urbaine
2A249,Propriano,hors unité urbaine
2A247,Porto-Vecchio,unité urbaine
2A004,Ajaccio,hors unité urbaine
2A004,Ajaccio,hors unité urbaine
2A247,Porto-Vecchio,hors unité urbaine
2B123,Ghisonaccia,hors unité urbaine
2B096,Corte,hors unité urbaine
2B033,Bastia,hors unité urbaine
2B033,Bastia,hors unité urbaine
2B033,Bastia,hors unité urbaine
2B096,Corte,hors unité urbaine
2B096,Corte,hors unité urbaine
2B096,Corte,hors unité urbaine
2B033,Bastia,hors unité urbaine
2B207,Penta-di-Casinca,hors unité urbaine
2B096,Corte,hors unité urbaine
30350,Le Vigan,unité urbaine
30007,Alès,hors unité urbaine
30141,Laudun-l'Ardoise,hors unité urbaine
30334,Uzès,hors unité urbaine
30263,Saint-Hippolyte-du-Fort,hors unité urbaine
30269,Saint-Jean-du-Gard,hors unité urbaine
30132,La Grand-Combe,hors unité urbaine
30007,Alès,hors unité urbaine
30007,Alès,hors unité urbaine
30062,Calvisson,unité urbaine
30132,La Grand-Combe,hors unité urbaine
84007,Avignon,unité urbaine
30321,Sommières,hors unité urbaine
30007,Alès,hors unité urbaine
30007,Alès,hors unité urbaine
84007,Avignon,unité urbaine
30007,Alès,hors unité urbaine
31324,Martres-Tolosane,hors unité urbaine
31098,Cadours,hors unité urbaine
31523,Salies-du-Salat,hors unité urbaine
31033,Auterive,hors unité urbaine
65258,Lannemezan,hors unité urbaine
31042,Bagnères-de-Luchon,hors unité urbaine
09167,Lézat-sur-Lèze,hors unité urbaine
31020,Aspet,hors unité urbaine
31042,Bagnères-de-Luchon,hors unité urbaine
31523,Salies-du-Salat,hors unité urbaine
31555,Toulouse,unité urbaine
31324,Martres-Tolosane,hors unité urbaine
31107,Carbonne,hors unité urbaine
09167,Lézat-sur-Lèze,hors unité urbaine
31020,Aspet,hors unité urbaine
32256,Mirande,hors unité urbaine
